dislserver: server starting
disl: excluding method: java/lang/CharSequence.lambda$codePoints$2(()Ljava/util/Spliterator$OfInt;)
disl: excluding method: java/lang/CharSequence.lambda$chars$1(()Ljava/util/Spliterator$OfInt;)
disl: excluding method: java/lang/Class.<init>((Ljava/lang/ClassLoader;)V)
disl: excluding method: java/lang/Class.toString(()Ljava/lang/String;)
disl: excluding method: java/lang/Class.toGenericString(()Ljava/lang/String;)
disl: excluding method: java/lang/Class.forName((Ljava/lang/String;)Ljava/lang/Class;)
disl: excluding method: java/lang/Class.forName((Ljava/lang/String;ZLjava/lang/ClassLoader;)Ljava/lang/Class;)
disl: excluding method: java/lang/Class.newInstance(()Ljava/lang/Object;)
disl: excluding method: java/lang/Class.isAnnotation(()Z)
disl: excluding method: java/lang/Class.isSynthetic(()Z)
disl: excluding method: java/lang/Class.getName(()Ljava/lang/String;)
disl: excluding method: java/lang/Class.getClassLoader(()Ljava/lang/ClassLoader;)
disl: excluding method: java/lang/Class.getClassLoader0(()Ljava/lang/ClassLoader;)
disl: excluding method: java/lang/Class.getTypeParameters(()[Ljava/lang/reflect/TypeVariable;)
disl: excluding method: java/lang/Class.getGenericSuperclass(()Ljava/lang/reflect/Type;)
disl: excluding method: java/lang/Class.getPackage(()Ljava/lang/Package;)
disl: excluding method: java/lang/Class.getInterfaces(()[Ljava/lang/Class;)
disl: excluding method: java/lang/Class.getGenericInterfaces(()[Ljava/lang/reflect/Type;)
disl: excluding method: java/lang/Class.getEnclosingMethod(()Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.getEnclosingMethodInfo(()Ljava/lang/Class$EnclosingMethodInfo;)
disl: excluding method: java/lang/Class.toClass((Ljava/lang/reflect/Type;)Ljava/lang/Class;)
disl: excluding method: java/lang/Class.getEnclosingConstructor(()Ljava/lang/reflect/Constructor;)
disl: excluding method: java/lang/Class.getDeclaringClass(()Ljava/lang/Class;)
disl: excluding method: java/lang/Class.getEnclosingClass(()Ljava/lang/Class;)
disl: excluding method: java/lang/Class.getSimpleName(()Ljava/lang/String;)
disl: excluding method: java/lang/Class.getTypeName(()Ljava/lang/String;)
disl: excluding method: java/lang/Class.isAsciiDigit((C)Z)
disl: excluding method: java/lang/Class.getCanonicalName(()Ljava/lang/String;)
disl: excluding method: java/lang/Class.isAnonymousClass(()Z)
disl: excluding method: java/lang/Class.isLocalClass(()Z)
disl: excluding method: java/lang/Class.isMemberClass(()Z)
disl: excluding method: java/lang/Class.getSimpleBinaryName(()Ljava/lang/String;)
disl: excluding method: java/lang/Class.isLocalOrAnonymousClass(()Z)
disl: excluding method: java/lang/Class.getClasses(()[Ljava/lang/Class;)
disl: excluding method: java/lang/Class.getFields(()[Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.getMethods(()[Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.getConstructors(()[Ljava/lang/reflect/Constructor;)
disl: excluding method: java/lang/Class.getField((Ljava/lang/String;)Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.getMethod((Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.getConstructor(([Ljava/lang/Class;)Ljava/lang/reflect/Constructor;)
disl: excluding method: java/lang/Class.getDeclaredClasses(()[Ljava/lang/Class;)
disl: excluding method: java/lang/Class.getDeclaredFields(()[Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.getDeclaredMethods(()[Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.getDeclaredConstructors(()[Ljava/lang/reflect/Constructor;)
disl: excluding method: java/lang/Class.getDeclaredField((Ljava/lang/String;)Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.getDeclaredMethod((Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.getDeclaredConstructor(([Ljava/lang/Class;)Ljava/lang/reflect/Constructor;)
disl: excluding method: java/lang/Class.getResourceAsStream((Ljava/lang/String;)Ljava/io/InputStream;)
disl: excluding method: java/lang/Class.getResource((Ljava/lang/String;)Ljava/net/URL;)
disl: excluding method: java/lang/Class.getProtectionDomain(()Ljava/security/ProtectionDomain;)
disl: excluding method: java/lang/Class.checkMemberAccess((ILjava/lang/Class;Z)V)
disl: excluding method: java/lang/Class.checkPackageAccess((Ljava/lang/ClassLoader;Z)V)
disl: excluding method: java/lang/Class.resolveName((Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/Class.reflectionData(()Ljava/lang/Class$ReflectionData;)
disl: excluding method: java/lang/Class.newReflectionData((Ljava/lang/ref/SoftReference;I)Ljava/lang/Class$ReflectionData;)
disl: excluding method: java/lang/Class.getFactory(()Lsun/reflect/generics/factory/GenericsFactory;)
disl: excluding method: java/lang/Class.getGenericInfo(()Lsun/reflect/generics/repository/ClassRepository;)
disl: excluding method: java/lang/Class.getExecutableTypeAnnotationBytes((Ljava/lang/reflect/Executable;)[B)
disl: excluding method: java/lang/Class.privateGetDeclaredFields((Z)[Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.privateGetPublicFields((Ljava/util/Set;)[Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.addAll((Ljava/util/Collection;[Ljava/lang/reflect/Field;)V)
disl: excluding method: java/lang/Class.privateGetDeclaredConstructors((Z)[Ljava/lang/reflect/Constructor;)
disl: excluding method: java/lang/Class.privateGetDeclaredMethods((Z)[Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.privateGetPublicMethods(()[Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.searchFields(([Ljava/lang/reflect/Field;Ljava/lang/String;)Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.getField0((Ljava/lang/String;)Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.searchMethods(([Ljava/lang/reflect/Method;Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.getMethod0((Ljava/lang/String;[Ljava/lang/Class;Z)Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.privateGetMethodRecursive((Ljava/lang/String;[Ljava/lang/Class;ZLjava/lang/Class$MethodArray;)Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.getConstructor0(([Ljava/lang/Class;I)Ljava/lang/reflect/Constructor;)
disl: excluding method: java/lang/Class.arrayContentsEq(([Ljava/lang/Object;[Ljava/lang/Object;)Z)
disl: excluding method: java/lang/Class.copyFields(([Ljava/lang/reflect/Field;)[Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.copyMethods(([Ljava/lang/reflect/Method;)[Ljava/lang/reflect/Method;)
disl: excluding method: java/lang/Class.copyConstructors(([Ljava/lang/reflect/Constructor;)[Ljava/lang/reflect/Constructor;)
disl: excluding method: java/lang/Class.argumentTypesToString(([Ljava/lang/Class;)Ljava/lang/String;)
disl: excluding method: java/lang/Class.desiredAssertionStatus(()Z)
disl: excluding method: java/lang/Class.isEnum(()Z)
disl: excluding method: java/lang/Class.getReflectionFactory(()Lsun/reflect/ReflectionFactory;)
disl: excluding method: java/lang/Class.checkInitted(()V)
disl: excluding method: java/lang/Class.getEnumConstants(()[Ljava/lang/Object;)
disl: excluding method: java/lang/Class.getEnumConstantsShared(()[Ljava/lang/Object;)
disl: excluding method: java/lang/Class.enumConstantDirectory(()Ljava/util/Map;)
disl: excluding method: java/lang/Class.cast((Ljava/lang/Object;)Ljava/lang/Object;)
disl: excluding method: java/lang/Class.cannotCastMsg((Ljava/lang/Object;)Ljava/lang/String;)
disl: excluding method: java/lang/Class.asSubclass((Ljava/lang/Class;)Ljava/lang/Class;)
disl: excluding method: java/lang/Class.getAnnotation((Ljava/lang/Class;)Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/Class.isAnnotationPresent((Ljava/lang/Class;)Z)
disl: excluding method: java/lang/Class.getAnnotationsByType((Ljava/lang/Class;)[Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/Class.getAnnotations(()[Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/Class.getDeclaredAnnotation((Ljava/lang/Class;)Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/Class.getDeclaredAnnotationsByType((Ljava/lang/Class;)[Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/Class.getDeclaredAnnotations(()[Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/Class.annotationData(()Ljava/lang/Class$AnnotationData;)
disl: excluding method: java/lang/Class.createAnnotationData((I)Ljava/lang/Class$AnnotationData;)
disl: excluding method: java/lang/Class.casAnnotationType((Lsun/reflect/annotation/AnnotationType;Lsun/reflect/annotation/AnnotationType;)Z)
disl: excluding method: java/lang/Class.getAnnotationType(()Lsun/reflect/annotation/AnnotationType;)
disl: excluding method: java/lang/Class.getDeclaredAnnotationMap(()Ljava/util/Map;)
disl: excluding method: java/lang/Class.getAnnotatedSuperclass(()Ljava/lang/reflect/AnnotatedType;)
disl: excluding method: java/lang/Class.getAnnotatedInterfaces(()[Ljava/lang/reflect/AnnotatedType;)
disl: excluding method: java/lang/Class.access$100((Ljava/lang/Class;Z)[Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.access$200(([Ljava/lang/reflect/Field;Ljava/lang/String;)Ljava/lang/reflect/Field;)
disl: excluding method: java/lang/Class.access$300(([Ljava/lang/Object;[Ljava/lang/Object;)Z)
disl: excluding method: java/lang/Class.access$402((Z)Z)
disl: excluding method: java/lang/Class.access$502((Z)Z)
disl: excluding method: java/lang/Class.<clinit>(()V)
disl: excluding method: java/lang/reflect/AnnotatedElement.isAnnotationPresent((Ljava/lang/Class;)Z)
disl: excluding method: java/lang/reflect/AnnotatedElement.getAnnotationsByType((Ljava/lang/Class;)[Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/reflect/AnnotatedElement.getDeclaredAnnotation((Ljava/lang/Class;)Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/reflect/AnnotatedElement.getDeclaredAnnotationsByType((Ljava/lang/Class;)[Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/reflect/AnnotatedElement.lambda$getDeclaredAnnotationsByType$0((Ljava/lang/annotation/Annotation;Ljava/lang/annotation/Annotation;)Ljava/lang/annotation/Annotation;)
disl: excluding method: java/lang/reflect/Type.getTypeName(()Ljava/lang/String;)
disl: excluding method: java/lang/ClassLoader.addClass((Ljava/lang/Class;)V)
disl: excluding method: java/lang/ClassLoader.checkCreateClassLoader(()Ljava/lang/Void;)
disl: excluding method: java/lang/ClassLoader.<init>((Ljava/lang/Void;Ljava/lang/ClassLoader;)V)
disl: excluding method: java/lang/ClassLoader.<init>((Ljava/lang/ClassLoader;)V)
disl: excluding method: java/lang/ClassLoader.<init>(()V)
disl: excluding method: java/lang/ClassLoader.loadClass((Ljava/lang/String;)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.loadClass((Ljava/lang/String;Z)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.getClassLoadingLock((Ljava/lang/String;)Ljava/lang/Object;)
disl: excluding method: java/lang/ClassLoader.loadClassInternal((Ljava/lang/String;)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.checkPackageAccess((Ljava/lang/Class;Ljava/security/ProtectionDomain;)V)
disl: excluding method: java/lang/ClassLoader.findClass((Ljava/lang/String;)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.defineClass(([BII)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.defineClass((Ljava/lang/String;[BII)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.preDefineClass((Ljava/lang/String;Ljava/security/ProtectionDomain;)Ljava/security/ProtectionDomain;)
disl: excluding method: java/lang/ClassLoader.defineClassSourceLocation((Ljava/security/ProtectionDomain;)Ljava/lang/String;)
disl: excluding method: java/lang/ClassLoader.postDefineClass((Ljava/lang/Class;Ljava/security/ProtectionDomain;)V)
disl: excluding method: java/lang/ClassLoader.defineClass((Ljava/lang/String;[BIILjava/security/ProtectionDomain;)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.defineClass((Ljava/lang/String;Ljava/nio/ByteBuffer;Ljava/security/ProtectionDomain;)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.checkName((Ljava/lang/String;)Z)
disl: excluding method: java/lang/ClassLoader.checkCerts((Ljava/lang/String;Ljava/security/CodeSource;)V)
disl: excluding method: java/lang/ClassLoader.compareCerts(([Ljava/security/cert/Certificate;[Ljava/security/cert/Certificate;)Z)
disl: excluding method: java/lang/ClassLoader.resolveClass((Ljava/lang/Class;)V)
disl: excluding method: java/lang/ClassLoader.findSystemClass((Ljava/lang/String;)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.findBootstrapClassOrNull((Ljava/lang/String;)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.findLoadedClass((Ljava/lang/String;)Ljava/lang/Class;)
disl: excluding method: java/lang/ClassLoader.setSigners((Ljava/lang/Class;[Ljava/lang/Object;)V)
disl: excluding method: java/lang/ClassLoader.getResource((Ljava/lang/String;)Ljava/net/URL;)
disl: excluding method: java/lang/ClassLoader.getResources((Ljava/lang/String;)Ljava/util/Enumeration;)
disl: excluding method: java/lang/ClassLoader.findResource((Ljava/lang/String;)Ljava/net/URL;)
disl: excluding method: java/lang/ClassLoader.findResources((Ljava/lang/String;)Ljava/util/Enumeration;)
disl: excluding method: java/lang/ClassLoader.registerAsParallelCapable(()Z)
disl: excluding method: java/lang/ClassLoader.getSystemResource((Ljava/lang/String;)Ljava/net/URL;)
disl: excluding method: java/lang/ClassLoader.getSystemResources((Ljava/lang/String;)Ljava/util/Enumeration;)
disl: excluding method: java/lang/ClassLoader.getBootstrapResource((Ljava/lang/String;)Ljava/net/URL;)
disl: excluding method: java/lang/ClassLoader.getBootstrapResources((Ljava/lang/String;)Ljava/util/Enumeration;)
disl: excluding method: java/lang/ClassLoader.getBootstrapClassPath(()Lsun/misc/URLClassPath;)
disl: excluding method: java/lang/ClassLoader.getResourceAsStream((Ljava/lang/String;)Ljava/io/InputStream;)
disl: excluding method: java/lang/ClassLoader.getSystemResourceAsStream((Ljava/lang/String;)Ljava/io/InputStream;)
disl: excluding method: java/lang/ClassLoader.getParent(()Ljava/lang/ClassLoader;)
disl: excluding method: java/lang/ClassLoader.getSystemClassLoader(()Ljava/lang/ClassLoader;)
disl: excluding method: java/lang/ClassLoader.initSystemClassLoader(()V)
disl: excluding method: java/lang/ClassLoader.isAncestor((Ljava/lang/ClassLoader;)Z)
disl: excluding method: java/lang/ClassLoader.needsClassLoaderPermissionCheck((Ljava/lang/ClassLoader;Ljava/lang/ClassLoader;)Z)
disl: excluding method: java/lang/ClassLoader.getClassLoader((Ljava/lang/Class;)Ljava/lang/ClassLoader;)
disl: excluding method: java/lang/ClassLoader.checkClassLoaderPermission((Ljava/lang/ClassLoader;Ljava/lang/Class;)V)
disl: excluding method: java/lang/ClassLoader.definePackage((Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/net/URL;)Ljava/lang/Package;)
disl: excluding method: java/lang/ClassLoader.getPackage((Ljava/lang/String;)Ljava/lang/Package;)
disl: excluding method: java/lang/ClassLoader.getPackages(()[Ljava/lang/Package;)
disl: excluding method: java/lang/ClassLoader.findLibrary((Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/ClassLoader.initializePath((Ljava/lang/String;)[Ljava/lang/String;)
disl: excluding method: java/lang/ClassLoader.loadLibrary((Ljava/lang/Class;Ljava/lang/String;Z)V)
disl: excluding method: java/lang/ClassLoader.loadLibrary0((Ljava/lang/Class;Ljava/io/File;)Z)
disl: excluding method: java/lang/ClassLoader.findNative((Ljava/lang/ClassLoader;Ljava/lang/String;)J)
disl: excluding method: java/lang/ClassLoader.setDefaultAssertionStatus((Z)V)
disl: excluding method: java/lang/ClassLoader.setPackageAssertionStatus((Ljava/lang/String;Z)V)
disl: excluding method: java/lang/ClassLoader.setClassAssertionStatus((Ljava/lang/String;Z)V)
disl: excluding method: java/lang/ClassLoader.clearAssertionStatus(()V)
disl: excluding method: java/lang/ClassLoader.desiredAssertionStatus((Ljava/lang/String;)Z)
disl: excluding method: java/lang/ClassLoader.initializeJavaAssertionMaps(()V)
disl: excluding method: java/lang/ClassLoader.access$000(()Ljava/util/Vector;)
disl: excluding method: java/lang/ClassLoader.access$100(()Ljava/util/Stack;)
disl: excluding method: java/lang/ClassLoader.<clinit>(()V)
disl: excluding method: java/lang/System.<init>(()V)
disl: excluding method: java/lang/System.setIn((Ljava/io/InputStream;)V)
disl: excluding method: java/lang/System.setOut((Ljava/io/PrintStream;)V)
disl: excluding method: java/lang/System.setErr((Ljava/io/PrintStream;)V)
disl: excluding method: java/lang/System.console(()Ljava/io/Console;)
disl: excluding method: java/lang/System.inheritedChannel(()Ljava/nio/channels/Channel;)
disl: excluding method: java/lang/System.checkIO(()V)
disl: excluding method: java/lang/System.setSecurityManager((Ljava/lang/SecurityManager;)V)
disl: excluding method: java/lang/System.setSecurityManager0((Ljava/lang/SecurityManager;)V)
disl: excluding method: java/lang/System.getSecurityManager(()Ljava/lang/SecurityManager;)
disl: excluding method: java/lang/System.getProperties(()Ljava/util/Properties;)
disl: excluding method: java/lang/System.lineSeparator(()Ljava/lang/String;)
disl: excluding method: java/lang/System.setProperties((Ljava/util/Properties;)V)
disl: excluding method: java/lang/System.getProperty((Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/System.getProperty((Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/System.setProperty((Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/System.clearProperty((Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/System.checkKey((Ljava/lang/String;)V)
disl: excluding method: java/lang/System.getenv((Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/System.getenv(()Ljava/util/Map;)
disl: excluding method: java/lang/System.exit((I)V)
disl: excluding method: java/lang/System.gc(()V)
disl: excluding method: java/lang/System.runFinalization(()V)
disl: excluding method: java/lang/System.runFinalizersOnExit((Z)V)
disl: excluding method: java/lang/System.load((Ljava/lang/String;)V)
disl: excluding method: java/lang/System.loadLibrary((Ljava/lang/String;)V)
disl: excluding method: java/lang/System.newPrintStream((Ljava/io/FileOutputStream;Ljava/lang/String;)Ljava/io/PrintStream;)
disl: excluding method: java/lang/System.initializeSystemClass(()V)
disl: excluding method: java/lang/System.setJavaLangAccess(()V)
disl: excluding method: java/lang/System.<clinit>(()V)
disl: excluding method: java/lang/Throwable.<init>(()V)
disl: excluding method: java/lang/Throwable.<init>((Ljava/lang/String;)V)
disl: excluding method: java/lang/Throwable.<init>((Ljava/lang/String;Ljava/lang/Throwable;)V)
disl: excluding method: java/lang/Throwable.<init>((Ljava/lang/Throwable;)V)
disl: excluding method: java/lang/Throwable.<init>((Ljava/lang/String;Ljava/lang/Throwable;ZZ)V)
disl: excluding method: java/lang/Throwable.getMessage(()Ljava/lang/String;)
disl: excluding method: java/lang/Throwable.getLocalizedMessage(()Ljava/lang/String;)
disl: excluding method: java/lang/Throwable.getCause(()Ljava/lang/Throwable;)
disl: excluding method: java/lang/Throwable.initCause((Ljava/lang/Throwable;)Ljava/lang/Throwable;)
disl: excluding method: java/lang/Throwable.toString(()Ljava/lang/String;)
disl: excluding method: java/lang/Throwable.printStackTrace(()V)
disl: excluding method: java/lang/Throwable.printStackTrace((Ljava/io/PrintStream;)V)
disl: excluding method: java/lang/Throwable.printStackTrace((Ljava/lang/Throwable$PrintStreamOrWriter;)V)
disl: excluding method: java/lang/Throwable.printEnclosedStackTrace((Ljava/lang/Throwable$PrintStreamOrWriter;[Ljava/lang/StackTraceElement;Ljava/lang/String;Ljava/lang/String;Ljava/util/Set;)V)
disl: excluding method: java/lang/Throwable.printStackTrace((Ljava/io/PrintWriter;)V)
disl: excluding method: java/lang/Throwable.fillInStackTrace(()Ljava/lang/Throwable;)
disl: excluding method: java/lang/Throwable.getStackTrace(()[Ljava/lang/StackTraceElement;)
disl: excluding method: java/lang/Throwable.getOurStackTrace(()[Ljava/lang/StackTraceElement;)
disl: excluding method: java/lang/Throwable.setStackTrace(([Ljava/lang/StackTraceElement;)V)
disl: excluding method: java/lang/Throwable.readObject((Ljava/io/ObjectInputStream;)V)
disl: excluding method: java/lang/Throwable.writeObject((Ljava/io/ObjectOutputStream;)V)
